SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-15nq
RA: 259.3301060
DECL: 33.4621012
MWEBV: 0.0399
FILTERS: griz
REDSHIFT_HELIO: 0.0303602 +- 1.19591e-05
REDSHIFT_FINAL: 0.0302537415896 +- 1.19591e-05
SEARCH_PEAKMJD: 57245.31791
HOSTGAL_LOGMASS: 10.873 +- 0.013
VPEC: -88.734
VPEC_ERR: 250.000
NOBS: 24
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57242.27981     g     MD     21506.858        362.225    16.669     0.018  6.70     0
OBS:  57245.31791     g     MD     26820.187        419.338    16.429     0.017  4.25     0
OBS:  57255.29400     g     MD     20456.533        352.556    16.723     0.019  5.61     0
OBS:  57262.36437     g     MD     12927.871        381.545    17.221     0.032  6.28     0
OBS:  57270.30969     g     MD      6349.232        155.778    17.993     0.027  4.65     0
OBS:  57277.23565     g     MD      3390.991        116.289    18.674     0.037  4.15     0
OBS:  57242.28020     r     MD     19508.184        314.760    16.774     0.017  5.50     0
OBS:  57245.31817     r     MD     23622.757        366.825    16.567     0.017  4.20     0
OBS:  57255.29440     r     MD     19371.367        316.864    16.782     0.018  5.06     0
OBS:  57262.36479     r     MD     13576.116        310.052    17.168     0.025  5.02     0
OBS:  57270.31010     r     MD     11670.915        212.241    17.332     0.020  4.48     0
OBS:  57277.23605     r     MD      8680.875        168.635    17.654     0.021  3.90     0
OBS:  57242.28062     i     MD     14982.291        263.217    17.061     0.019  5.15     0
OBS:  57245.31867     i     MD     15452.311        259.284    17.028     0.018  3.17     0
OBS:  57255.29477     i     MD     10599.577        206.612    17.437     0.021  4.67     0
OBS:  57262.36514     i     MD      6489.025        230.385    17.970     0.038  4.75     0
OBS:  57270.31045     i     MD      7662.347        162.816    17.789     0.023  3.75     0
OBS:  57277.23641     i     MD      7704.404        161.065    17.783     0.023  3.40     0
OBS:  57242.28094     z     MD     13141.698        268.810    17.203     0.022  5.34     0
OBS:  57245.31900     z     MD     14159.627        265.895    17.122     0.020  3.34     0
OBS:  57255.29513     z     MD      9754.380        228.327    17.527     0.025  4.04     0
OBS:  57262.36549     z     MD      8525.340        290.254    17.673     0.037  4.06     0
OBS:  57270.31081     z     MD      8260.610        215.164    17.707     0.028  4.06     0
OBS:  57277.23678     z     MD      7855.168        192.899    17.762     0.027  3.20     0
END:
