SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: ASASSN-15tz
RA: 40.2869661
DECL: 43.6801641
MWEBV: 0.1411
FILTERS: griz
REDSHIFT_HELIO: 0.022862 +- 3e-05
REDSHIFT_FINAL: 0.022214988001 +- 3e-05
SEARCH_PEAKMJD: 57380.21524
HOSTGAL_LOGMASS: 10.359 +- 0.005
VPEC: 536.575
VPEC_ERR: 250.000
NOBS: 25
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57370.31494     g     MD     12748.726        250.751    17.236     0.021  5.63     0
OBS:  57380.21483     g     MD     15814.996        327.650    17.002     0.022  4.22     0
OBS:  57386.28791     g     MD     10701.762        202.109    17.426     0.020  4.34     0
OBS:  57394.22187     g     MD      5112.849        127.263    18.228     0.027  5.36     0
OBS:  57404.21880     g     MD      2017.642        100.767    19.238     0.054  3.23     0
OBS:  57415.25725     g     MD      1371.220         80.646    19.657     0.064  4.86     0
OBS:  57370.31534     r     MD     15455.304        273.507    17.027     0.019  5.48     0
OBS:  57380.21524     r     MD     20663.867        356.736    16.712     0.019  4.22     0
OBS:  57386.28831     r     MD     14410.452        240.818    17.103     0.018  3.84     0
OBS:  57394.22227     r     MD     11513.105        202.006    17.347     0.019  4.55     0
OBS:  57404.21919     r     MD      6480.114        139.130    17.971     0.023  3.13     0
OBS:  57415.25765     r     MD      3543.147        103.023    18.627     0.031  4.27     0
OBS:  57370.31570     i     MD     12848.291        248.051    17.228     0.021  5.20     0
OBS:  57380.21560     i     MD     14156.350        274.765    17.123     0.021  3.91     0
OBS:  57386.28867     i     MD      8207.553        160.956    17.714     0.021  3.89     0
OBS:  57394.22264     i     MD      8592.677        176.078    17.665     0.022  4.21     0
OBS:  57404.21955     i     MD      6926.986        144.483    17.899     0.023  3.07     0
OBS:  57415.25800     i     MD      3318.645        110.581    18.698     0.036  3.48     0
OBS:  57380.21596     z     MD     13314.593        268.967    17.189     0.022  3.36     0
OBS:  57386.28903     z     MD      9777.395        214.634    17.524     0.024  4.16     0
OBS:  57394.22301     z     MD     10656.164        241.190    17.431     0.024  4.24     0
OBS:  57404.21991     z     MD      7255.391        217.610    17.848     0.032  5.29     0
OBS:  57404.26628     z     MD      8007.636        206.745    17.741     0.028  3.54     0
OBS:  57415.25836     z     MD      3859.759        166.183    18.534     0.047  3.41     0
OBS:  57404.21467     z     MD      7262.973        138.332    17.847     0.021  2.90     0
END:
