SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: AT2016bln
RA: 203.6895125
DECL: 13.8539477
MWEBV: 0.0250
FILTERS: griz
REDSHIFT_HELIO: 0.023303 +- 2.7e-05
REDSHIFT_FINAL: 0.02423509936 +- 2.7e-05
SEARCH_PEAKMJD: 57502.37288
HOSTGAL_LOGMASS: 11.024 +- 0.209
VPEC: -309.632
VPEC_ERR: 250.000
NOBS: 37
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57487.37710     g     MD     14096.950        250.950    17.127     0.019  4.62     0
OBS:  57492.38632     g     MD     34771.943        532.007    16.147     0.017  5.18     0
OBS:  57502.37250     g     MD     41545.716        657.869    15.954     0.017  5.94     0
OBS:  57509.36162     g     MD     32163.650        494.793    16.232     0.017  4.72     0
OBS:  57514.34642     g     MD     24618.235        391.060    16.522     0.017  5.19     0
OBS:  57514.35025     g     MD     22962.003        357.831    16.597     0.017  3.80     0
OBS:  57523.31170     g     MD     12882.944        243.275    17.225     0.020  4.46     0
OBS:  57531.27046     g     MD      6781.453        217.423    17.922     0.035  6.78     0
OBS:  57487.37774     r     MD     13154.411        228.918    17.202     0.019  4.35     0
OBS:  57492.38671     r     MD     30647.678        460.122    16.284     0.016  4.36     0
OBS:  57502.37288     r     MD     41885.668        629.362    15.945     0.016  4.89     0
OBS:  57509.36200     r     MD     31095.435        469.979    16.268     0.016  4.28     0
OBS:  57514.34680     r     MD     23493.710        408.942    16.573     0.019  4.95     0
OBS:  57514.35062     r     MD     21995.138        337.342    16.644     0.017  3.67     0
OBS:  57523.31208     r     MD     21079.676        338.880    16.690     0.017  4.54     0
OBS:  57531.27085     r     MD     16420.600        297.653    16.962     0.020  6.61     0
OBS:  57490.36936     r     MD     24972.084        360.362    16.506     0.016  5.68     0
OBS:  57490.38172     r     MD     25107.802        360.454    16.500     0.016  5.33     0
OBS:  57490.40663     r     MD     24128.519        347.446    16.544     0.016  6.69     0
OBS:  57490.39410     r     MD     25033.744        360.341    16.504     0.016  5.02     0
OBS:  57487.37810     i     MD     10720.143        202.159    17.424     0.020  3.93     0
OBS:  57492.38708     i     MD     23512.269        371.417    16.572     0.017  5.22     0
OBS:  57502.37325     i     MD     22644.669        372.709    16.613     0.018  4.84     0
OBS:  57509.36237     i     MD     15834.147        267.592    17.001     0.018  4.42     0
OBS:  57514.34716     i     MD     11542.979        212.350    17.344     0.020  6.83     0
OBS:  57514.35099     i     MD     11065.953        197.111    17.390     0.019  3.65     0
OBS:  57523.31244     i     MD     14677.535        256.883    17.083     0.019  3.85     0
OBS:  57531.27121     i     MD     14911.203        280.068    17.066     0.020  5.76     0
OBS:  57530.40697     i     MD     14962.193        260.858    17.063     0.019  9.81     0
OBS:  57487.37847     z     MD      9653.042        223.975    17.538     0.025  3.50     0
OBS:  57492.38745     z     MD     19959.644        351.353    16.750     0.019  4.57     0
OBS:  57502.37361     z     MD     23014.123        408.759    16.595     0.019  4.22     0
OBS:  57509.36274     z     MD     17071.592        319.464    16.919     0.020  4.35     0
OBS:  57514.34753     z     MD     14783.439        347.350    17.076     0.025  4.43     0
OBS:  57514.35136     z     MD     14392.776        270.182    17.105     0.020  3.79     0
OBS:  57523.31281     z     MD     17291.313        327.986    16.905     0.021  4.06     0
OBS:  57531.27156     z     MD     15670.315        335.671    17.012     0.023  5.50     0
END:
