SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: AT2017ns
RA: 42.2932238
DECL: 14.6007954
MWEBV: 0.0937
FILTERS: griz
REDSHIFT_HELIO: 0.028766 +- 0.000397
REDSHIFT_FINAL: 0.028034625211 +- 0.000397
SEARCH_PEAKMJD: 57783.22885
HOSTGAL_LOGMASS: 10.255 +- 0.007
VPEC: 122.766
VPEC_ERR: 250.000
NOBS: 19
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57779.23143     g     MD     10452.243        220.887    17.452     0.023  6.59     0
OBS:  57783.22846     g     MD     12533.159        262.707    17.255     0.023  6.05     0
OBS:  57794.22918     g     MD      7715.608        292.209    17.782     0.041  8.64     0
OBS:  57801.27055     g     MD      4415.690        142.436    18.388     0.035  4.86     0
OBS:  57823.24184     g     MD       623.165        327.221    20.513     0.567  7.62     0
OBS:  57783.22885     r     MD     15385.290        282.889    17.032     0.020  5.16     0
OBS:  57794.22957     r     MD     12132.900        295.188    17.290     0.026  9.19     0
OBS:  57801.27097     r     MD      8891.023        184.982    17.628     0.023  4.85     0
OBS:  57823.24226     r     MD      2926.166        231.724    18.834     0.086  6.59     0
OBS:  57779.23219     i     MD     11142.280        231.781    17.383     0.023  6.03     0
OBS:  57783.22922     i     MD     10871.729        221.820    17.409     0.022  4.52     0
OBS:  57794.22994     i     MD      6809.357        216.098    17.917     0.034  7.21     0
OBS:  57801.27132     i     MD      6452.916        157.631    17.976     0.026  4.04     0
OBS:  57823.24260     i     MD      3457.211        242.119    18.653     0.076  6.72     0
OBS:  57779.23257     z     MD      9518.026        255.262    17.554     0.029  5.19     0
OBS:  57783.22959     z     MD      9629.181        269.386    17.541     0.030  4.40     0
OBS:  57794.23030     z     MD      7037.030        316.698    17.882     0.049  8.72     0
OBS:  57801.27167     z     MD      7646.542        217.034    17.791     0.031  3.63     0
OBS:  57823.24294     z     MD      3398.742        347.091    18.672     0.110  6.97     0
END:
