SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: MASTEROTJ08
RA: 128.2370548
DECL: -3.8578969
MWEBV: 0.0313
FILTERS: griz
REDSHIFT_HELIO: 0.030584 +- 0.00015
REDSHIFT_FINAL: 0.031535386198 +- 0.00015
SEARCH_PEAKMJD: 57808.43076
HOSTGAL_LOGMASS: 6.000 +- 0.100
VPEC: -140.033
VPEC_ERR: 250.000
NOBS: 25
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57808.43076     g     MD     21009.444        366.130    16.694     0.019  5.06     0
OBS:  57825.34020     g     MD      5969.606        247.777    18.060     0.045  6.49     0
OBS:  57831.23762     g     MD      3690.841        111.695    18.582     0.033  3.74     0
OBS:  57843.29875     g     MD      2667.690        145.003    18.935     0.059  6.51     0
OBS:  57859.29519     g     MD      1521.568         86.161    19.544     0.061  4.61     0
OBS:  57808.43117     r     MD     20859.204        346.574    16.702     0.018  4.69     0
OBS:  57825.34061     r     MD     10076.315        230.911    17.492     0.025  5.48     0
OBS:  57831.23803     r     MD      7816.771        154.094    17.767     0.021  3.69     0
OBS:  57843.29915     r     MD      5082.476        160.416    18.235     0.034  6.78     0
OBS:  57808.43153     i     MD     12942.264        247.360    17.220     0.021  4.20     0
OBS:  57825.34097     i     MD      8378.106        207.248    17.692     0.027  4.56     0
OBS:  57831.23839     i     MD      8016.469        162.360    17.740     0.022  3.00     0
OBS:  57843.29950     i     MD      4738.213        172.193    18.311     0.039  6.14     0
OBS:  57825.29502     i     MD      8089.693        148.602    17.730     0.020  4.73     0
OBS:  57825.30746     i     MD      8466.644        146.932    17.681     0.019  3.91     0
OBS:  57825.33232     i     MD      8320.936        151.617    17.700     0.020  4.75     0
OBS:  57825.31989     i     MD      8457.997        156.033    17.682     0.020  4.90     0
OBS:  57854.24965     i     MD      2984.386         77.095    18.813     0.028  3.64     0
OBS:  57854.26153     i     MD      2962.299         77.954    18.821     0.028  3.69     0
OBS:  57854.27340     i     MD      2878.570         71.515    18.852     0.027  3.34     0
OBS:  57854.28529     i     MD      2913.030         72.243    18.839     0.027  3.30     0
OBS:  57808.43189     z     MD     12509.080        281.072    17.257     0.024  3.85     0
OBS:  57825.34133     z     MD      8671.858        261.830    17.655     0.033  5.23     0
OBS:  57831.23875     z     MD      8615.020        203.594    17.662     0.026  3.24     0
OBS:  57843.29986     z     MD      4614.983        228.892    18.340     0.054  5.64     0
END:
