SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PS15bdr
RA: 253.7059074
DECL: 36.7251961
MWEBV: 0.0138
FILTERS: griz
REDSHIFT_HELIO: 0.0709596 +- 1.3979e-05
REDSHIFT_FINAL: 0.0709435650577 +- 1.3979e-05
SEARCH_PEAKMJD: 57215.27665
HOSTGAL_LOGMASS: 11.079 +- 0.001
VPEC: 99.934
VPEC_ERR: 250.000
NOBS: 41
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57215.27665     g     MD      3906.460        110.772    18.521     0.031  3.65     0
OBS:  57222.26493     g     MD      2929.692         92.612    18.833     0.034  3.41     0
OBS:  57228.26683     g     MD      1542.029        160.146    19.530     0.112  5.73     0
OBS:  57228.26854     g     MD      1738.489        116.155    19.400     0.072  5.44     0
OBS:  57234.26634     g     MD       414.659        257.112    20.956     0.670  7.02     0
OBS:  57240.38185     g     MD       549.662         81.131    20.650     0.159  4.79     0
OBS:  57250.32992     g     MD     -2181.111       2134.579       nan     1.057  7.20     0
OBS:  57251.25572     g     MD       117.143         77.089    22.328     0.711  4.39     0
OBS:  57215.27704     r     MD      3720.405        101.724    18.574     0.030  3.83     0
OBS:  57222.26533     r     MD      3414.053         89.202    18.667     0.028  3.16     0
OBS:  57228.26727     r     MD      2361.719        104.164    19.067     0.048  4.44     0
OBS:  57234.26673     r     MD      1817.347        204.079    19.351     0.121  7.06     0
OBS:  57240.38231     r     MD      1118.605         75.041    19.878     0.072  4.68     0
OBS:  57251.25611     r     MD       581.171         64.500    20.589     0.120  4.33     0
OBS:  57207.39012     r     MD      1747.037         67.133    19.394     0.042  4.67     0
OBS:  57207.40238     r     MD      1661.974         59.558    19.448     0.039  4.67     0
OBS:  57207.41473     r     MD      1855.707         61.030    19.329     0.036  4.28     0
OBS:  57207.42782     r     MD      1763.059         63.653    19.384     0.039  4.51     0
OBS:  57215.27740     i     MD      2573.404         90.137    18.974     0.038  3.41     0
OBS:  57222.26568     i     MD      2254.827         80.504    19.117     0.039  3.16     0
OBS:  57228.26760     i     MD      1175.683         94.221    19.824     0.087  3.71     0
OBS:  57234.26710     i     MD      1399.676        156.256    19.635     0.121  5.72     0
OBS:  57240.38256     i     MD      1190.524         95.270    19.811     0.086  4.34     0
OBS:  57251.25647     i     MD       616.725         70.972    20.525     0.124  3.79     0
OBS:  57198.33600     i     MD        15.516         82.549    24.523     5.746  7.84     0
OBS:  57198.34879     i     MD       -86.066         64.086       nan     0.804  6.04     0
OBS:  57198.36160     i     MD        -4.791         53.083       nan    11.966  4.82     0
OBS:  57198.37443     i     MD        17.774         39.687    24.376     2.411  4.16     0
OBS:  57199.28644     i     MD        34.513         42.145    23.655     1.319  3.66     0
OBS:  57199.29906     i     MD       -21.426         42.124       nan     2.123  3.78     0
OBS:  57199.31172     i     MD       -30.945         41.567       nan     1.451  3.72     0
OBS:  57199.32434     i     MD        23.072         43.289    24.092     2.026  4.17     0
OBS:  57233.28077     i     MD      1506.348         57.522    19.555     0.041  3.15     0
OBS:  57233.29327     i     MD      1436.871         59.520    19.606     0.045  3.05     0
OBS:  57233.31818     i     MD      1607.910         57.879    19.484     0.039  3.58     0
OBS:  57233.30577     i     MD      1577.519         58.309    19.505     0.040  3.17     0
OBS:  57222.26605     z     MD      1585.741        101.911    19.499     0.069  2.86     0
OBS:  57228.26806     z     MD       770.190        143.064    20.284     0.201  3.50     0
OBS:  57234.26747     z     MD      1183.712        141.031    19.817     0.129  3.67     0
OBS:  57240.38297     z     MD      1410.222        135.754    19.627     0.104  4.03     0
OBS:  57251.25683     z     MD       663.950        116.022    20.445     0.189  3.39     0
END:
