SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PS16cqa
RA: 234.7791790
DECL: 9.2946220
MWEBV: 0.0340
FILTERS: griz
REDSHIFT_HELIO: 0.0438573 +- 1.26312e-05
REDSHIFT_FINAL: 0.0443108645359 +- 1.26312e-05
SEARCH_PEAKMJD: 57547.28910
HOSTGAL_LOGMASS: 11.196 +- 0.001
VPEC: 313.948
VPEC_ERR: 250.000
NOBS: 27
NVAR: 9
VARLIST:      MJD   FLT  FIELD       FLUXCAL     FLUXCALERR       MAG    MAGERR  FWHM  FLAG
OBS:  57547.28871     g     MD      4275.101        189.771    18.423     0.048  4.95     0
OBS:  57552.33504     g     MD      2691.630        175.177    18.925     0.070  8.08     0
OBS:  57559.29956     g     MD      1081.544        227.714    19.915     0.227  5.75     0
OBS:  57566.34415     g     MD       430.672         90.481    20.915     0.227  6.47     0
OBS:  57574.34210     g     MD       531.937         85.306    20.685     0.173  5.55     0
OBS:  57587.32748     g     MD       272.545        209.946    21.411     0.832  5.68     0
OBS:  57597.26621     g     MD       122.659        126.992    22.278     1.118  9.60     0
OBS:  57547.28910     r     MD      4767.707        139.116    18.304     0.032  3.48     0
OBS:  57552.33542     r     MD      4416.839        164.860    18.387     0.040  7.24     0
OBS:  57559.29995     r     MD      3058.366        185.047    18.786     0.065  5.73     0
OBS:  57566.34454     r     MD      1953.287         89.520    19.273     0.050  5.15     0
OBS:  57574.34249     r     MD      1083.995         75.723    19.912     0.075  4.64     0
OBS:  57587.32787     r     MD       383.861        234.974    21.040     0.661  5.13     0
OBS:  57597.26660     r     MD       519.335        117.686    20.711     0.245  7.70     0
OBS:  57547.28946     i     MD      3404.956        115.962    18.670     0.037  3.35     0
OBS:  57552.33578     i     MD      3187.437        150.446    18.741     0.051  6.27     0
OBS:  57559.30031     i     MD      2129.184        158.528    19.179     0.080  5.18     0
OBS:  57566.34491     i     MD      2109.712        102.656    19.189     0.053  4.66     0
OBS:  57574.34285     i     MD       983.856         85.151    20.018     0.093  4.06     0
OBS:  57587.32823     i     MD       264.894        339.222    21.442     1.383  4.90     0
OBS:  57597.26697     i     MD       470.497        138.909    20.819     0.319  6.98     0
OBS:  57552.33615     z     MD      2574.056        208.855    18.973     0.088  6.15     0
OBS:  57559.30068     z     MD      2596.711        209.337    18.964     0.087  5.35     0
OBS:  57566.34527     z     MD      2329.768        144.910    19.082     0.067  4.22     0
OBS:  57574.34321     z     MD      1143.199        156.361    19.855     0.148  4.64     0
OBS:  57587.32859     z     MD       848.922        333.975    20.178     0.425  4.22     0
OBS:  57597.26733     z     MD       226.893        181.951    21.610     0.866  5.76     0
END:
